15
1000
[198 52 117 -214 25 29 -43 -98 -45 -170 -18 -273 34 -240 59]
[137 -136 67 53 -249 47 -414 -13 0 -45 -63 117 93 192 -37]
[91 182 312 204 164 55 166 31 156 -90 -59 117 105 -162 5]
[-63 79 94 290 375 159 144 0 197 54 4 27 -24 48 -39]
[240 53 -136 -53 -116 -1 -64 -142 279 320 254 47 11 11 -180]
[-217 123 -127 -34 -22 -92 37 -102 -9 16 -81 113 -24 -39 -95]
[151 -13 338 40 208 121 291 -132 -7 112 -25 216 253 -162 169]
[56 -85 -31 -1 0 -11 1 -178 -387 -58 224 24 -163 -265 -107]
[26 -44 18 167 166 224 252 55 14 -66 -58 -190 -311 -112 37]
[18 173 234 54 79 213 33 22 -164 -61 -256 -73 -360 101 16]
[-92 124 10 205 108 -158 -67 -115 229 -346 -231 -352 123 147 -21]
[2 -191 20 -10 170 163 47 -184 -273 -154 -214 -284 -189 -44 54]
[-10 195 60 107 90 295 -75 146 -133 7 -143 85 -12 -60 96]
[54 -66 -351 -127 -117 499 283 23 210 88 -21 -133 -88 -161 -23]
[50 -156 -81 -149 -158 -24 18 -127 23 113 -113 -15 88 140 14]
[164 -99 -93 92 -23 -24 40 176 -109 154 188 95 11 159 -199]
[210 29 -136 -133 -199 -237 -364 -33 -192 -183 -235 47 -82 -25 -8]
[194 81 -58 -133 188 244 89 98 20 149 -78 -61 47 43 -43]
[235 0 396 91 -295 -61 -151 -18 63 -213 -2 -150 -341 178 -27]
[28 -15 80 -7 -17 55 -38 -57 70 126 124 35 94 67 125]
[85 -100 82 -91 1 303 -137 210 -30 -219 -22 -116 -42 -223 67]
[-37 381 130 182 -235 -195 -77 -221 -104 -69 222 337 267 302]
[-118 64 -216 -112 -260 -185 -157 -231 -82 51 88 41 106 231 104]
[72 -100 -170 33 -82 -134 -173 -106 -67 96 -138 -24 -13 -79 163]
[418 136 151 -16 -55 -186 111 -125 80 95 168 -76 -65 -8 1]
[178 190 72 -49 -118 -155 10 -49 -186 -33 -18 29 60 -17 -4]
[65 123 71 43 -95 -10 -23 22 17 -26 -96 38 55 -112 26]
[163 136 175 -247 266 5 -161 89 29 88 105 59 182 -200]
[-95 186 -117 105 -130 -10 29 -7 -134 -207 -220 30 503 69 14]
[36 -137 32 92 -83 -367 -205 219 -161 -180 -90 28 45 41 -98]
[290 65 221 -43 83 11 193 224 -1 -15 -62 -131 -307 -133 97]
[-84 43 -14 46 18 -178 -223 -54 -43 100 -67 -39 59 46 -2]
[125 -107 -100 17 172 168 49 -126 10 -85 20 173 400 165 65]
[75 211 180 61 97 -52 -165 -102 27 -162 -64 -14 -130 -53 -25]
[53 -52 138 -56 100 -23 38 32 66 92 107 150 130 85 25]
[273 2 -47 -14 137 71 51 -38 -10 202 -43 -104 131 -54 -33]
[202 74 193 -202 124 -84 184 137 -164 -102 272 -159 174 232 -241]
[110 -456 -82 -214 31 48 34 223 5 101 125 295 455 68 -3]
[92 189 -23 112 -40 -88 36 80 -463 35 -248 -20 -37 -265 -8]
[67 -18 -43 90 90 -123 -90 -2 -24 184 55 19 171 -116 25]
[163 -28 199 28 164 65 56 -75 133 -7 4 22 50 197 -18]
[440 198 217 149 329 68 -315 -158 -201 -265 -465 -178 42 -71 71]
[147 241 -20 -160 165 11 76 -115 66 -97 -220 222 5 22 51]
[-86 -229 -354 -189 2 25 239 143 169 85 135 -83 121 77 -31]
[-31 -68 -41 -67 66 -202 168 -119 -51 69 -89 2 187 -222 -191]
[51 21 -162 -102 38 -148 4 57 -125 204 -102 138 -316 205 -66]
[7 43 46 85 71 -224 60 -351 1 -53 -229 -5 26 152 -119]
[274 -65 -145 -157 -155 -46 -139 159 185 -65 225 -46 226 3 -2]
[-97 113 -24 135 184 -52 -325 79 -37 91 -61 -151 -55 13 -108]
[-104 -24 -13 -121 35 132 207 295 278 222 136 153 31 62 -33]
[-9 -131 145 186 -227 126 -101 -457 -124 -13 -206 -49 128 -107 -29]
[305 -265 -162 -45 -290 228 65 125 365 196 -188 224 177 74 -47]
