15
1000
[-35 13 -28 -33 -60 -11 17 -26 -40 10 2 -5 -13 -35 20]
[2 25 -13 42 41 47 22 23 19 -34 -45 -64 -17 -31 29]
[55 27 24 -39 -20 -16 -25 -53 -42 10 -24 3 -19 -17 30]
[-21 35 0 4 5 32 36 -25 -5 5 -39 -86 -5 -44 18]
[8 -48 -8 -6 28 1 33 8 35 19 28 68 38 4 17]
[20 -5 3 -8 1 23 20 -8 15 21 0 -13 8 16 33]
[8 -15 -22 -55 -35 11 -8 -32 -19 -25 -25 -14 26 1 -15]
[27 -28 33 -31 -28 14 -41 -40 -51 -12 -45 -30 -67 -24 -5]
[-75 -62 82 17 -34 29 19 -19 -16 69 43 16 -23 -70 -5]
[-7 11 -67 8 19 -14 -51 51 46 28 29 0 12 17 21]
[-18 34 11 34 34 26 11 12 22 -20 32 -18 52 -25 4]
[-7 -7 10 31 0 21 22 53 62 36 10 33 3 50 24]
[47 39 -10 -25 -38 -11 31 -43 -33 22 -37 -36 -13 -43]
[17 24 11 38 37 7 87 3 77 30 52 -27 35 5 25]
[-12 22 -54 -45 -13 30 -47 6 -9 12 3 -34 -5 12 4]
[-31 21 -4 -60 73 -18 35 7 22 -24 -31 -23 29 19 -2]
[23 -10 -8 9 60 36 11 -24 21 -8 -31 -37 -40 -36 -10]
[8 -8 18 11 10 60 5 19 8 1 -27 18 23 15 -15]
[37 23 -33 -34 1 -16 16 14 -43 -36 -3 26 14 42 -12]
[29 25 0 16 -17 -39 5 18 24 -4 -47 -56 -11 -56 2]
[21 4 40 -36 -1 -48 2 -31 -14 -42 -38 -16 6 -15 2]
[79 -3 -13 -28 -23 -21 35 -38 59 33 -27 42 -9 -26 -5]
[41 -3 -15 -55 19 -36 25 -36 12 -8 -29 51 16 -35 13]
[-49 -8 -21 -31 -50 -14 -29 -27 0 -4 -4 -35 6 24 -5]
[45 6 -17 -23 -49 12 -32 23 23 30 -1 14 46 24 -12]
[32 26 -23 -18 25 -7 -59 -19 -16 -39 10 -12 -1 -19 14]
[42 -28 49 -41 -7 11 53 -3 -7 -25 2 11 -38 25 3]
[-3 18 17 58 53 39 25 31 46 24 1 26 -4 39 -20]
[-1 27 55 42 18 97 2 28 -31 -15 -23 -24 25 23 2]
[-59 -6 0 36 -39 -9 -65 -10 -40 -53 -14 -19 -18 -12 8]
[4 15 21 29 38 4 -41 -14 13 18 20 23 28 35 37]
[39 -56 -25 -29 -20 6 -3 -30 13 -37 -49 -55 5 -30 -3]
[2 7 10 17 -31 -25 -4 -7 -15 46 11 -9 13 1 -14]
